Time, X Coordinate, Y Coordinate
2025-08-13 16:47:27.513830, 201.81, 295.82
2025-08-13 16:47:28.443642, 985.58, 1845.88
2025-08-13 16:47:29.053512, 314.04, 624.60
2025-08-13 16:47:29.653689, 514.79, 1549.99
2025-08-13 16:47:30.281168, -1183.80, -313.45
2025-08-13 16:47:30.945235, 866.41, 1349.02
2025-08-13 16:47:31.580538, 695.43, 858.59
2025-08-13 16:47:32.272210, -6255.86, 15382.10
2025-08-13 16:47:32.983098, 874.86, 875.69
2025-08-13 16:47:33.654220, 937.00, 1005.36
2025-08-13 16:47:34.331281, 943.21, 1014.62
