Time, X Coordinate, Y Coordinate
2025-08-13 17:39:53.045894, 641.23, 1800.22
2025-08-13 17:39:53.807919, 642.15, 1766.25
2025-08-13 17:39:54.271692, 640.86, 1727.78
2025-08-13 17:39:54.714951, 641.40, 1689.30
2025-08-13 17:39:55.167062, 641.48, 1648.13
2025-08-13 17:39:55.619410, 641.92, 1602.72
2025-08-13 17:39:56.088253, 642.16, 1557.37
2025-08-13 17:39:56.554156, 642.58, 1509.18
2025-08-13 17:39:57.032486, 643.48, 1459.01
2025-08-13 17:39:57.510234, 643.03, 1410.25
2025-08-13 17:39:58.060479, 644.47, 1355.47
2025-08-13 17:39:58.558166, 644.96, 1299.23
2025-08-13 17:39:59.215207, 647.28, 1247.63
2025-08-13 17:39:59.744816, 649.34, 1189.90
2025-08-13 17:40:00.200343, 658.32, 1130.42
2025-08-13 17:40:00.683113, 664.59, 1076.74
2025-08-13 17:40:01.147264, 669.93, 1026.73
2025-08-13 17:40:01.583508, 673.03, 978.08
2025-08-13 17:40:02.029724, 674.24, 925.69
2025-08-13 17:40:02.467358, 676.56, 873.06
2025-08-13 17:40:03.097658, 677.58, 816.52
2025-08-13 17:40:03.661948, 676.37, 762.57
2025-08-13 17:40:04.231310, 675.52, 707.50
2025-08-13 17:40:04.678515, 675.68, 654.39
2025-08-13 17:40:05.136293, 676.04, 599.27
2025-08-13 17:40:05.582787, 675.45, 541.93
2025-08-13 17:40:06.016990, 674.18, 494.95
2025-08-13 17:40:06.459392, 674.07, 459.76
2025-08-13 17:40:06.894142, 677.53, 425.61
2025-08-13 17:40:07.349792, 683.72, 391.10
2025-08-13 17:40:07.798992, 687.92, 352.50
