Timestamp,X,Y
2025-08-13 17:40:51.422800,641.23,1800.22
2025-08-13 17:40:52.200999,642.15,1766.25
2025-08-13 17:40:52.651500,640.86,1727.78
2025-08-13 17:40:53.083830,641.40,1689.30
2025-08-13 17:40:53.529925,641.48,1648.13
2025-08-13 17:40:54.004536,641.92,1602.72
2025-08-13 17:40:54.491470,642.16,1557.37
2025-08-13 17:40:54.984269,642.58,1509.18
2025-08-13 17:40:55.469326,643.48,1459.01
2025-08-13 17:40:55.933970,643.03,1410.25
2025-08-13 17:40:56.401183,644.47,1355.47
2025-08-13 17:40:56.870170,644.96,1299.23
2025-08-13 17:40:57.357540,647.28,1247.63
2025-08-13 17:40:57.857503,649.34,1189.90
2025-08-13 17:40:58.341121,658.32,1130.42
2025-08-13 17:40:58.819719,664.59,1076.74
2025-08-13 17:40:59.267802,669.93,1026.73
2025-08-13 17:40:59.736174,673.03,978.08
2025-08-13 17:41:00.205788,674.24,925.69
2025-08-13 17:41:00.668296,676.56,873.06
2025-08-13 17:41:01.159812,677.58,816.52
2025-08-13 17:41:01.626833,676.37,762.57
2025-08-13 17:41:02.082968,675.52,707.50
2025-08-13 17:41:02.549454,675.68,654.39
2025-08-13 17:41:03.008659,676.04,599.27
2025-08-13 17:41:03.478253,675.45,541.93
2025-08-13 17:41:03.935081,674.18,494.95
2025-08-13 17:41:04.439085,674.07,459.76
2025-08-13 17:41:04.922019,677.53,425.61
2025-08-13 17:41:05.409402,683.72,391.10
2025-08-13 17:41:05.855756,687.92,352.50
