Time, X Coordinate, Y Coordinate
2025-08-13 18:16:09.267068, 641.23, 1800.22
2025-08-13 18:16:10.029068, 642.15, 1766.25
2025-08-13 18:16:10.510028, 640.86, 1727.78
2025-08-13 18:16:11.218100, 641.40, 1689.30
2025-08-13 18:16:11.742550, 641.48, 1648.13
2025-08-13 18:16:12.245781, 641.92, 1602.72
2025-08-13 18:16:12.702354, 642.16, 1557.37
2025-08-13 18:16:13.348059, 642.58, 1509.18
2025-08-13 18:16:13.962552, 643.48, 1459.01
2025-08-13 18:16:14.459281, 643.03, 1410.25
2025-08-13 18:16:15.156763, 644.47, 1355.47
2025-08-13 18:16:15.859673, 644.96, 1299.23
2025-08-13 18:16:16.620037, 647.28, 1247.63
2025-08-13 18:16:17.276413, 649.34, 1189.90
2025-08-13 18:16:17.948059, 658.32, 1130.42
2025-08-13 18:16:18.431034, 664.59, 1076.74
2025-08-13 18:16:18.882967, 669.93, 1026.73
2025-08-13 18:16:19.316634, 673.03, 978.08
2025-08-13 18:16:19.740918, 674.24, 925.69
2025-08-13 18:16:20.174473, 676.56, 873.06
2025-08-13 18:16:20.614530, 677.58, 816.52
2025-08-13 18:16:21.045338, 676.37, 762.57
2025-08-13 18:16:21.478397, 675.52, 707.50
2025-08-13 18:16:21.907234, 675.68, 654.39
2025-08-13 18:16:22.355196, 676.04, 599.27
2025-08-13 18:16:22.934305, 675.45, 541.93
2025-08-13 18:16:23.523816, 674.18, 494.95
2025-08-13 18:16:24.257591, 674.07, 459.76
2025-08-13 18:16:24.992900, 677.53, 425.61
2025-08-13 18:16:25.730134, 683.72, 391.10
2025-08-13 18:16:26.349420, 687.92, 352.50
