Timestamp,X,Y
2025-08-13 16:58:55.411919,16459.25,-70844.16
2025-08-13 16:58:55.922776,1090.34,1561.16
2025-08-13 16:58:56.436864,430.30,77.21
2025-08-13 16:58:56.957532,1245.59,1581.80
2025-08-13 16:58:57.457509,671.25,1101.21
2025-08-13 16:58:57.961968,673.40,913.13
2025-08-13 16:58:58.501328,1080.63,1386.33
2025-08-13 16:58:59.017836,703.47,1524.77
2025-08-13 16:58:59.535809,639.57,656.48
2025-08-13 16:59:00.063589,401.71,204.75
2025-08-13 16:59:00.716964,771.48,1270.59
2025-08-13 16:59:01.251957,617.78,1318.26
2025-08-13 16:59:01.783953,873.55,1208.91
2025-08-13 16:59:02.296330,1036.44,1166.37
2025-08-13 16:59:02.815880,319.04,1048.66
2025-08-13 16:59:03.323124,951.16,998.36
2025-08-13 16:59:03.843855,896.82,1732.98
2025-08-13 16:59:04.363841,507.59,1416.78
2025-08-13 16:59:04.876226,925.74,532.63
2025-08-13 16:59:05.408847,393.61,544.68
2025-08-13 16:59:06.156472,984.93,543.86
2025-08-13 16:59:06.676671,1239.21,834.57
2025-08-13 16:59:07.261011,854.85,1499.01
2025-08-13 16:59:07.794286,904.50,779.88
2025-08-13 16:59:08.310056,917.06,546.85
2025-08-13 16:59:08.838979,1151.39,632.57
2025-08-13 16:59:09.440925,479.12,604.60
2025-08-13 16:59:10.038441,-2202.86,3406.53
2025-08-13 16:59:10.795450,643.25,490.33
2025-08-13 16:59:11.329144,915.66,548.94
2025-08-13 16:59:11.841904,684.42,1387.15
2025-08-13 16:59:12.342055,873.01,1377.20
2025-08-13 16:59:12.857130,-2169.94,2455.70
2025-08-13 16:59:13.359037,749.22,1402.98
2025-08-13 16:59:13.860566,-94.22,2095.73
2025-08-13 16:59:14.367849,689.65,751.76
2025-08-13 16:59:14.883639,681.98,1558.30
2025-08-13 16:59:15.387074,310.08,4114.13
