Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
380	1	0	0.13	1599	10836
405	2	0	0.15	2003	11786
431	3	0	0.14	1929	11870
457	4	0	0.14	1914	12183
476	5	0	0.14	1961	12324
495	6	0	0.13	1895	12219
521	7	0	0.13	1906	12703
542	8	0	0.12	1874	13143
563	9	0	0.12	1849	13240
583	10	0	0.12	1774	13216
601	11	0	0.11	1759	13609
619	12	0	0.11	1678	13893
641	13	0	0.10	1630	15011
665	14	0	0.09	1609	15452
684	15	0	0.09	1604	15723
704	16	0	0.09	1545	15468
728	17	0	0.08	1473	16377
744	18	0	0.08	1432	16869
762	19	0	0.08	1469	16844
781	20	0	0.08	1349	16579
801	21	0	0.07	1342	17012
821	22	0	0.07	1295	17494
841	23	0	0.07	1229	17416
859	24	0	0.06	1218	18035
876	25	0	0.06	1155	17755
898	26	0	0.06	1230	18301
916	27	0	0.06	1146	18381
935	28	0	0.05	1013	19135
953	29	0	0.06	1122	18932
969	30	0	0.05	1081	19431
985	31	0	0.05	1001	19594
1001	32	0	0.04	821	18763
1017	33	0	0.04	792	19022
1036	34	0	0.04	856	19572
1053	35	0	0.04	890	19954
1075	36	0	0.04	815	18780
1093	37	0	0.04	802	19105
1112	38	0	0.04	805	18422
1133	39	0	0.04	860	18304
1153	40	0	0.04	813	17920
1169	41	0	0.04	778	17808
1185	42	0	0.04	778	18227
1201	43	0	0.04	689	17897
1230	44	0	0.03	600	17729
1250	45	0	0.03	574	17887
1273	46	0	0.04	683	16989
1293	47	0	0.04	723	16165
1310	48	0	0.05	844	16180
1326	49	0	0.05	804	15790
1342	50	0	0.06	907	15473
1374	51	0	0.07	1174	15802
1389	52	0	0.08	1350	15499
1406	53	0	0.07	1083	15127
1422	54	0	0.06	1010	15638
1442	55	0	0.07	1242	16349
1459	56	0	0.07	1261	16316
1475	57	0	0.08	1423	16078
1493	58	0	0.09	1688	16384
1509	59	0	0.09	1607	16237
1525	60	0	0.10	1763	16304
1541	61	0	0.10	1854	16757
1557	62	0	0.11	1926	16242
1577	63	0	0.11	2042	16379
1597	64	0	0.12	2202	16224
1617	65	0	0.12	2302	16592
1636	66	0	0.13	2549	16715
1653	67	0	0.14	2798	16541
1673	68	0	0.16	3099	16619
1690	69	0	0.16	3000	16261
1709	70	0	0.15	3000	16928
1728	71	0	0.17	3381	16477
1748	72	0	0.18	3635	16602
1766	73	0	0.18	3739	16678
1782	74	0	0.18	3732	17274
1807	75	0	0.19	4006	17277
1823	76	0	0.18	3850	17198
1843	77	0	0.19	4137	17461
1865	78	0	0.19	4201	17511
1886	79	0	0.19	4271	18045
1908	80	0	0.19	4188	17988
1927	81	0	0.20	4135	16714
1945	82	0	0.21	4323	16633
1965	83	0	0.22	4700	16655
1983	84	0	0.22	4738	16596
2002	85	0	0.22	4598	16476
2017	86	0	0.23	4650	15535
2034	87	0	0.22	4467	15606
2050	88	0	0.25	4772	13970
2069	89	0	0.25	4769	13952
2087	90	0	0.26	4822	13793
2109	91	0	0.26	4654	13096
2126	92	0	0.27	4851	12958
2147	93	0	0.28	4800	12649
2165	94	0	0.29	5093	12744
2185	95	0	0.28	4971	13025
2209	96	0	0.28	5382	14017
2231	97	0	0.28	5612	14415
2263	98	0	0.28	5334	13625
2284	99	0	0.29	5560	13757
2309	100	0	0.30	5885	13775
2329	101	0	0.29	5870	14277
2351	102	0	0.31	6229	14147
2375	103	0	0.33	6613	13674
2401	104	0	0.32	6638	14170
2424	105	0	0.32	6685	14124
2445	106	0	0.32	6707	14048
2464	107	0	0.33	6770	13920
2486	108	0	0.32	6846	14388
2507	109	0	0.32	6812	14387
2528	110	0	0.33	7045	14097
2551	111	0	0.35	7270	13725
2573	112	0	0.35	7617	14413
2594	113	0	0.34	7631	14730
2615	114	0	0.34	7602	14940
2635	115	0	0.33	7384	15307
2655	116	0	0.34	8105	15684
2673	117	0	0.34	8343	15969
2693	118	0	0.34	8562	16669
2712	119	0	0.33	8397	16828
2733	120	0	0.34	8730	17043
2753	121	0	0.36	9101	16485
2773	122	0	0.35	9504	17603
2792	123	0	0.35	9581	17418
2813	124	0	0.36	9518	16893
2833	125	0	0.35	9736	18124
2852	126	0	0.36	10204	17997
2871	127	0	0.37	10369	17646
2892	128	0	0.38	10425	17297
2912	129	0	0.38	10583	16998
2935	130	0	0.38	10717	17403
2966	131	0	0.38	10646	17231
2993	132	0	0.38	10536	17121
3015	133	0	0.37	10666	18059
3037	134	0	0.37	10419	17844
3057	135	0	0.36	10618	18773
3081	136	0	0.37	10448	17539
3102	137	0	0.36	10326	18274
3126	138	0	0.36	10380	18324
3146	139	0	0.36	10236	18440
3171	140	0	0.37	10795	18598
3190	141	0	0.38	11106	18411
3214	142	0	0.37	10986	18323
3233	143	0	0.37	10898	18741
3254	144	0	0.37	10869	18245
3273	145	0	0.38	11000	18085
3292	146	0	0.37	11070	18533
3317	147	0	0.37	10896	18329
3342	148	0	0.38	11301	18085
3363	149	0	0.38	10910	17773
3387	150	0	0.41	11566	16359
3410	151	0	0.42	12046	16762
3430	152	0	0.41	11732	17128
3451	153	0	0.41	11775	17056
3471	154	0	0.41	11678	16765
