Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
394	1	0	0.13	1599	10836
434	2	0	0.15	2003	11786
463	3	0	0.14	1929	11870
482	4	0	0.14	1914	12183
503	5	0	0.14	1961	12324
525	6	0	0.13	1895	12219
543	7	0	0.13	1906	12703
562	8	0	0.12	1874	13143
582	9	0	0.12	1849	13240
600	10	0	0.12	1774	13216
617	11	0	0.11	1759	13609
642	12	0	0.11	1678	13893
660	13	0	0.10	1630	15011
680	14	0	0.09	1609	15452
699	15	0	0.09	1604	15723
717	16	0	0.09	1545	15468
733	17	0	0.08	1473	16377
750	18	0	0.08	1432	16869
768	19	0	0.08	1469	16844
786	20	0	0.08	1349	16579
809	21	0	0.07	1342	17012
827	22	0	0.07	1295	17494
844	23	0	0.07	1229	17416
869	24	0	0.06	1218	18035
887	25	0	0.06	1155	17755
911	26	0	0.06	1230	18301
932	27	0	0.06	1146	18381
949	28	0	0.05	1013	19135
967	29	0	0.06	1122	18932
985	30	0	0.05	1081	19431
1005	31	0	0.05	1001	19594
1021	32	0	0.04	821	18763
1041	33	0	0.04	792	19022
1058	34	0	0.04	856	19572
1075	35	0	0.04	890	19954
1091	36	0	0.04	815	18780
1109	37	0	0.04	802	19105
1128	38	0	0.04	805	18422
1147	39	0	0.04	860	18304
1166	40	0	0.04	813	17920
1184	41	0	0.04	778	17808
1200	42	0	0.04	778	18227
1216	43	0	0.04	689	17897
1232	44	0	0.03	600	17729
1249	45	0	0.03	574	17887
1266	46	0	0.04	683	16989
1284	47	0	0.04	723	16165
1300	48	0	0.05	844	16180
1316	49	0	0.05	804	15790
1335	50	0	0.06	907	15473
1351	51	0	0.07	1174	15802
1368	52	0	0.08	1350	15499
1384	53	0	0.07	1083	15127
1405	54	0	0.06	1010	15638
1423	55	0	0.07	1242	16349
1443	56	0	0.07	1261	16316
1460	57	0	0.08	1423	16078
1481	58	0	0.09	1688	16384
1501	59	0	0.09	1607	16237
1521	60	0	0.10	1763	16304
1537	61	0	0.10	1854	16757
1554	62	0	0.11	1926	16242
1570	63	0	0.11	2042	16379
1588	64	0	0.12	2202	16224
1605	65	0	0.12	2302	16592
1621	66	0	0.13	2549	16715
1638	67	0	0.14	2798	16541
1655	68	0	0.16	3099	16619
1671	69	0	0.16	3000	16261
1688	70	0	0.15	3000	16928
1704	71	0	0.17	3381	16477
1721	72	0	0.18	3635	16602
1737	73	0	0.18	3739	16678
1753	74	0	0.18	3732	17274
1771	75	0	0.19	4006	17277
1790	76	0	0.18	3850	17198
1808	77	0	0.19	4137	17461
1828	78	0	0.19	4201	17511
1850	79	0	0.19	4271	18045
1866	80	0	0.19	4188	17988
1887	81	0	0.20	4135	16714
1907	82	0	0.21	4323	16633
1926	83	0	0.22	4700	16655
1943	84	0	0.22	4738	16596
1959	85	0	0.22	4598	16476
1976	86	0	0.23	4650	15535
1995	87	0	0.22	4467	15606
2016	88	0	0.25	4772	13970
2033	89	0	0.25	4769	13952
2050	90	0	0.26	4822	13793
2067	91	0	0.26	4654	13096
2091	92	0	0.27	4851	12958
2112	93	0	0.28	4800	12649
2137	94	0	0.29	5093	12744
2157	95	0	0.28	4971	13025
2176	96	0	0.28	5382	14017
2193	97	0	0.28	5612	14415
2209	98	0	0.28	5334	13625
2226	99	0	0.29	5560	13757
2245	100	0	0.30	5885	13775
2266	101	0	0.29	5870	14277
2287	102	0	0.31	6229	14147
2307	103	0	0.33	6613	13674
2329	104	0	0.32	6638	14170
2353	105	0	0.32	6685	14124
2375	106	0	0.32	6707	14048
2399	107	0	0.33	6770	13920
2421	108	0	0.32	6846	14388
2443	109	0	0.32	6812	14387
2465	110	0	0.33	7045	14097
2489	111	0	0.35	7270	13725
2509	112	0	0.35	7617	14413
2532	113	0	0.34	7631	14730
2551	114	0	0.34	7602	14940
2572	115	0	0.33	7384	15307
2599	116	0	0.34	8105	15684
2619	117	0	0.34	8343	15969
2640	118	0	0.34	8562	16669
2661	119	0	0.33	8397	16828
2681	120	0	0.34	8730	17043
2703	121	0	0.36	9101	16485
2722	122	0	0.35	9504	17603
2747	123	0	0.35	9581	17418
2767	124	0	0.36	9518	16893
2790	125	0	0.35	9736	18124
2810	126	0	0.36	10204	17997
2830	127	0	0.37	10369	17646
2854	128	0	0.38	10425	17297
2874	129	0	0.38	10583	16998
2894	130	0	0.38	10717	17403
2915	131	0	0.38	10646	17231
2938	132	0	0.38	10536	17121
2960	133	0	0.37	10666	18059
2988	134	0	0.37	10419	17844
3008	135	0	0.36	10618	18773
3028	136	0	0.37	10448	17539
3047	137	0	0.36	10326	18274
3068	138	0	0.36	10380	18324
3089	139	0	0.36	10236	18440
3110	140	0	0.37	10795	18598
3128	141	0	0.38	11106	18411
3150	142	0	0.37	10986	18323
3170	143	0	0.37	10898	18741
3197	144	0	0.37	10869	18245
3222	145	0	0.38	11000	18085
3244	146	0	0.37	11070	18533
3264	147	0	0.37	10896	18329
3282	148	0	0.38	11301	18085
3302	149	0	0.38	10910	17773
3321	150	0	0.41	11566	16359
3343	151	0	0.42	12046	16762
3362	152	0	0.41	11732	17128
3381	153	0	0.41	11775	17056
3400	154	0	0.41	11678	16765
3424	155	0	0.41	11467	16804
3447	156	0	0.41	11479	16803
3468	157	0	0.41	11501	16830
3488	158	0	0.42	11485	16148
3509	159	0	0.46	11898	13897
3532	160	0	0.47	12332	14123
3551	161	0	0.47	12366	13901
3571	162	0	0.46	12062	14145
3593	163	0	0.46	11877	13694
3611	164	0	0.47	11606	13094
3630	165	0	0.47	11292	12773
3649	166	0	0.48	11249	12066
3668	167	0	0.48	10756	11861
3687	168	0	0.48	10698	11791
3706	169	0	0.46	9879	11446
3726	170	0	0.45	9337	11288
3747	171	0	0.46	8888	10463
3770	172	0	0.46	8861	10583
3789	173	0	0.45	8485	10377
3809	174	0	0.46	8349	9735
3833	175	0	0.43	7661	10067
3852	176	0	0.43	7387	9884
3871	177	0	0.43	7259	9594
3893	178	0	0.40	6962	10638
3921	179	0	0.40	6872	10209
3942	180	0	0.41	6745	9887
3965	181	0	0.41	6263	9095
3983	182	0	0.39	5957	9201
4003	183	0	0.39	5672	8994
4023	184	0	0.36	5294	9397
4043	185	0	0.36	5127	9304
4066	186	0	0.30	4460	10248
4087	187	0	0.28	4154	10430
4107	188	0	0.27	3981	10850
4130	189	0	0.26	4160	11764
4149	190	0	0.26	3966	11244
4170	191	0	0.23	3457	11726
4192	192	0	0.23	3293	11010
4216	193	0	0.21	2979	11263
4237	194	0	0.20	2760	11150
4264	195	0	0.19	2677	11597
4284	196	0	0.18	2424	11001
4303	197	0	0.17	2285	11358
4321	198	0	0.16	2145	11137
4344	199	0	0.15	1952	10730
4365	200	0	0.15	1853	10168
4386	201	0	0.13	1537	9947
4406	202	0	0.13	1361	9184
4427	203	0	0.12	1219	9257
4446	204	0	0.13	1362	9454
4464	205	0	0.13	1447	9639
4482	206	0	0.13	1421	9276
4501	207	0	0.10	1205	10280
