Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
383	1	0	0.13	1599	10836
412	2	0	0.15	2003	11786
437	3	0	0.14	1929	11870
465	4	0	0.14	1914	12183
485	5	0	0.14	1961	12324
505	6	0	0.13	1895	12219
524	7	0	0.13	1906	12703
544	8	0	0.12	1874	13143
564	9	0	0.12	1849	13240
583	10	0	0.12	1774	13216
604	11	0	0.11	1759	13609
621	12	0	0.11	1678	13893
647	13	0	0.10	1630	15011
667	14	0	0.09	1609	15452
686	15	0	0.09	1604	15723
704	16	0	0.09	1545	15468
721	17	0	0.08	1473	16377
743	18	0	0.08	1432	16869
760	19	0	0.08	1469	16844
778	20	0	0.08	1349	16579
796	21	0	0.07	1342	17012
824	22	0	0.07	1295	17494
845	23	0	0.07	1229	17416
860	24	0	0.06	1218	18035
879	25	0	0.06	1155	17755
895	26	0	0.06	1230	18301
912	27	0	0.06	1146	18381
930	28	0	0.05	1013	19135
946	29	0	0.06	1122	18932
962	30	0	0.05	1081	19431
979	31	0	0.05	1001	19594
996	32	0	0.04	821	18763
1014	33	0	0.04	792	19022
1030	34	0	0.04	856	19572
1047	35	0	0.04	890	19954
1062	36	0	0.04	815	18780
1080	37	0	0.04	802	19105
1096	38	0	0.04	805	18422
1113	39	0	0.04	860	18304
1130	40	0	0.04	813	17920
1152	41	0	0.04	778	17808
1170	42	0	0.04	778	18227
1192	43	0	0.04	689	17897
1214	44	0	0.03	600	17729
1235	45	0	0.03	574	17887
1253	46	0	0.04	683	16989
1269	47	0	0.04	723	16165
1286	48	0	0.05	844	16180
1304	49	0	0.05	804	15790
1322	50	0	0.06	907	15473
1341	51	0	0.07	1174	15802
1362	52	0	0.08	1350	15499
1384	53	0	0.07	1083	15127
1400	54	0	0.06	1010	15638
1417	55	0	0.07	1242	16349
1433	56	0	0.07	1261	16316
1453	57	0	0.08	1423	16078
1469	58	0	0.09	1688	16384
1486	59	0	0.09	1607	16237
1505	60	0	0.10	1763	16304
1522	61	0	0.10	1854	16757
1540	62	0	0.11	1926	16242
1558	63	0	0.11	2042	16379
1574	64	0	0.12	2202	16224
1590	65	0	0.12	2302	16592
1606	66	0	0.13	2549	16715
1624	67	0	0.14	2798	16541
1640	68	0	0.16	3099	16619
1656	69	0	0.16	3000	16261
1672	70	0	0.15	3000	16928
1689	71	0	0.17	3381	16477
1704	72	0	0.18	3635	16602
1720	73	0	0.18	3739	16678
1737	74	0	0.18	3732	17274
1753	75	0	0.19	4006	17277
1770	76	0	0.18	3850	17198
1788	77	0	0.19	4137	17461
1807	78	0	0.19	4201	17511
1827	79	0	0.19	4271	18045
1844	80	0	0.19	4188	17988
1862	81	0	0.20	4135	16714
1879	82	0	0.21	4323	16633
1896	83	0	0.22	4700	16655
1912	84	0	0.22	4738	16596
1929	85	0	0.22	4598	16476
1945	86	0	0.23	4650	15535
1961	87	0	0.22	4467	15606
1977	88	0	0.25	4772	13970
1993	89	0	0.25	4769	13952
2009	90	0	0.26	4822	13793
2025	91	0	0.26	4654	13096
2042	92	0	0.27	4851	12958
2059	93	0	0.28	4800	12649
2075	94	0	0.29	5093	12744
2092	95	0	0.28	4971	13025
2108	96	0	0.28	5382	14017
2126	97	0	0.28	5612	14415
2142	98	0	0.28	5334	13625
2158	99	0	0.29	5560	13757
2175	100	0	0.30	5885	13775
2193	101	0	0.29	5870	14277
2210	102	0	0.31	6229	14147
2228	103	0	0.33	6613	13674
2244	104	0	0.32	6638	14170
2261	105	0	0.32	6685	14124
2277	106	0	0.32	6707	14048
2294	107	0	0.33	6770	13920
2313	108	0	0.32	6846	14388
2330	109	0	0.32	6812	14387
2346	110	0	0.33	7045	14097
2366	111	0	0.35	7270	13725
2394	112	0	0.35	7617	14413
2411	113	0	0.34	7631	14730
2430	114	0	0.34	7602	14940
2446	115	0	0.33	7384	15307
2463	116	0	0.34	8105	15684
2479	117	0	0.34	8343	15969
2503	118	0	0.34	8562	16669
2519	119	0	0.33	8397	16828
2537	120	0	0.34	8730	17043
2557	121	0	0.36	9101	16485
2574	122	0	0.35	9504	17603
2591	123	0	0.35	9581	17418
2608	124	0	0.36	9518	16893
2625	125	0	0.35	9736	18124
2642	126	0	0.36	10204	17997
2660	127	0	0.37	10369	17646
2678	128	0	0.38	10425	17297
2695	129	0	0.38	10583	16998
2712	130	0	0.38	10717	17403
2729	131	0	0.38	10646	17231
2744	132	0	0.38	10536	17121
2763	133	0	0.37	10666	18059
2780	134	0	0.37	10419	17844
2797	135	0	0.36	10618	18773
2814	136	0	0.37	10448	17539
2831	137	0	0.36	10326	18274
2847	138	0	0.36	10380	18324
2866	139	0	0.36	10236	18440
2886	140	0	0.37	10795	18598
2907	141	0	0.38	11106	18411
2926	142	0	0.37	10986	18323
2944	143	0	0.37	10898	18741
2963	144	0	0.37	10869	18245
2982	145	0	0.38	11000	18085
3002	146	0	0.37	11070	18533
3018	147	0	0.37	10896	18329
3035	148	0	0.38	11301	18085
3051	149	0	0.38	10910	17773
3068	150	0	0.41	11566	16359
3085	151	0	0.42	12046	16762
3102	152	0	0.41	11732	17128
3118	153	0	0.41	11775	17056
3136	154	0	0.41	11678	16765
3154	155	0	0.41	11467	16804
3172	156	0	0.41	11479	16803
3189	157	0	0.41	11501	16830
3209	158	0	0.42	11485	16148
3233	159	0	0.46	11898	13897
3256	160	0	0.47	12332	14123
3272	161	0	0.47	12366	13901
3288	162	0	0.46	12062	14145
3306	163	0	0.46	11877	13694
3324	164	0	0.47	11606	13094
3342	165	0	0.47	11292	12773
3358	166	0	0.48	11249	12066
3375	167	0	0.48	10756	11861
3391	168	0	0.48	10698	11791
3408	169	0	0.46	9879	11446
3424	170	0	0.45	9337	11288
3441	171	0	0.46	8888	10463
3457	172	0	0.46	8861	10583
3477	173	0	0.45	8485	10377
3493	174	0	0.46	8349	9735
3512	175	0	0.43	7661	10067
3535	176	0	0.43	7387	9884
3554	177	0	0.43	7259	9594
3576	178	0	0.40	6962	10638
3593	179	0	0.40	6872	10209
3610	180	0	0.41	6745	9887
3626	181	0	0.41	6263	9095
3643	182	0	0.39	5957	9201
3659	183	0	0.39	5672	8994
3677	184	0	0.36	5294	9397
3693	185	0	0.36	5127	9304
3711	186	0	0.30	4460	10248
3728	187	0	0.28	4154	10430
3747	188	0	0.27	3981	10850
3764	189	0	0.26	4160	11764
3782	190	0	0.26	3966	11244
3802	191	0	0.23	3457	11726
3817	192	0	0.23	3293	11010
3834	193	0	0.21	2979	11263
3853	194	0	0.20	2760	11150
3868	195	0	0.19	2677	11597
3898	196	0	0.18	2424	11001
3914	197	0	0.17	2285	11358
3935	198	0	0.16	2145	11137
3954	199	0	0.15	1952	10730
3974	200	0	0.15	1853	10168
3990	201	0	0.13	1537	9947
4007	202	0	0.13	1361	9184
4024	203	0	0.12	1219	9257
4040	204	0	0.13	1362	9454
4057	205	0	0.13	1447	9639
4076	206	0	0.13	1421	9276
4092	207	0	0.10	1205	10280
4108	208	0	0.10	1162	10174
4125	209	0	0.10	1084	9796
4142	210	0	0.11	1231	9564
4158	211	0	0.12	1243	9512
4175	212	0	0.11	1195	9626
4191	213	0	0.11	1092	8990
4207	214	0	0.11	1095	9136
4223	215	0	0.11	1027	8716
4242	216	0	0.10	1004	8579
4260	217	0	0.11	1068	8391
4279	218	0	0.12	1087	8144
4295	219	0	0.12	1133	8079
4311	220	0	0.15	1292	7597
4327	221	0	0.15	1303	7275
4344	222	0	0.16	1352	6883
4360	223	0	0.16	1335	7125
4379	224	0	0.18	1382	6472
4396	225	0	0.17	1364	6662
4412	226	0	0.17	1401	7023
4428	227	0	0.19	1548	6509
4445	228	0	0.18	1453	6833
4461	229	0	0.19	1676	6934
4481	230	0	0.20	1608	6523
4498	231	0	0.19	1555	6786
4515	232	0	0.21	1600	5976
4532	233	0	0.21	1546	5822
4549	234	0	0.24	1620	5230
4565	235	0	0.22	1528	5363
4584	236	0	0.22	1604	5612
4601	237	0	0.24	1700	5411
4619	238	0	0.21	1512	5696
4638	239	0	0.22	1497	5230
4656	240	0	0.21	1452	5520
4677	241	0	0.21	1547	5727
