Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
368	1	0	0.13	1599	10836
398	2	0	0.15	2003	11786
422	3	0	0.14	1929	11870
446	4	0	0.14	1914	12183
463	5	0	0.14	1961	12324
481	6	0	0.13	1895	12219
500	7	0	0.13	1906	12703
517	8	0	0.12	1874	13143
534	9	0	0.12	1849	13240
552	10	0	0.12	1774	13216
570	11	0	0.11	1759	13609
589	12	0	0.11	1678	13893
607	13	0	0.10	1630	15011
628	14	0	0.09	1609	15452
647	15	0	0.09	1604	15723
668	16	0	0.09	1545	15468
688	17	0	0.08	1473	16377
717	18	0	0.08	1432	16869
733	19	0	0.08	1469	16844
751	20	0	0.08	1349	16579
768	21	0	0.07	1342	17012
786	22	0	0.07	1295	17494
803	23	0	0.07	1229	17416
820	24	0	0.06	1218	18035
838	25	0	0.06	1155	17755
855	26	0	0.06	1230	18301
870	27	0	0.06	1146	18381
888	28	0	0.05	1013	19135
904	29	0	0.06	1122	18932
921	30	0	0.05	1081	19431
938	31	0	0.05	1001	19594
955	32	0	0.04	821	18763
970	33	0	0.04	792	19022
987	34	0	0.04	856	19572
1007	35	0	0.04	890	19954
1025	36	0	0.04	815	18780
1047	37	0	0.04	802	19105
1065	38	0	0.04	805	18422
1082	39	0	0.04	860	18304
1098	40	0	0.04	813	17920
1116	41	0	0.04	778	17808
1134	42	0	0.04	778	18227
1154	43	0	0.04	689	17897
1175	44	0	0.03	600	17729
1201	45	0	0.03	574	17887
1226	46	0	0.04	683	16989
1252	47	0	0.04	723	16165
1272	48	0	0.05	844	16180
1291	49	0	0.05	804	15790
1312	50	0	0.06	907	15473
1330	51	0	0.07	1174	15802
1354	52	0	0.08	1350	15499
1388	53	0	0.07	1083	15127
1416	54	0	0.06	1010	15638
1438	55	0	0.07	1242	16349
1458	56	0	0.07	1261	16316
1481	57	0	0.08	1423	16078
1503	58	0	0.09	1688	16384
1526	59	0	0.09	1607	16237
1552	60	0	0.10	1763	16304
1574	61	0	0.10	1854	16757
1595	62	0	0.11	1926	16242
1618	63	0	0.11	2042	16379
1640	64	0	0.12	2202	16224
1659	65	0	0.12	2302	16592
1678	66	0	0.13	2549	16715
1697	67	0	0.14	2798	16541
1724	68	0	0.16	3099	16619
1746	69	0	0.16	3000	16261
1767	70	0	0.15	3000	16928
1790	71	0	0.17	3381	16477
1813	72	0	0.18	3635	16602
1831	73	0	0.18	3739	16678
1851	74	0	0.18	3732	17274
1869	75	0	0.19	4006	17277
1890	76	0	0.18	3850	17198
1909	77	0	0.19	4137	17461
1929	78	0	0.19	4201	17511
1946	79	0	0.19	4271	18045
1965	80	0	0.19	4188	17988
1986	81	0	0.20	4135	16714
2004	82	0	0.21	4323	16633
2023	83	0	0.22	4700	16655
2041	84	0	0.22	4738	16596
2061	85	0	0.22	4598	16476
2090	86	0	0.23	4650	15535
2110	87	0	0.22	4467	15606
2132	88	0	0.25	4772	13970
2150	89	0	0.25	4769	13952
2169	90	0	0.26	4822	13793
2189	91	0	0.26	4654	13096
2207	92	0	0.27	4851	12958
2227	93	0	0.28	4800	12649
2245	94	0	0.29	5093	12744
2265	95	0	0.28	4971	13025
2289	96	0	0.28	5382	14017
2311	97	0	0.28	5612	14415
2335	98	0	0.28	5334	13625
2357	99	0	0.29	5560	13757
2377	100	0	0.30	5885	13775
2401	101	0	0.29	5870	14277
2428	102	0	0.31	6229	14147
2454	103	0	0.33	6613	13674
2474	104	0	0.32	6638	14170
2495	105	0	0.32	6685	14124
2513	106	0	0.32	6707	14048
2533	107	0	0.33	6770	13920
2553	108	0	0.32	6846	14388
2571	109	0	0.32	6812	14387
2591	110	0	0.33	7045	14097
2609	111	0	0.35	7270	13725
2629	112	0	0.35	7617	14413
2648	113	0	0.34	7631	14730
2669	114	0	0.34	7602	14940
2690	115	0	0.33	7384	15307
2711	116	0	0.34	8105	15684
2735	117	0	0.34	8343	15969
2757	118	0	0.34	8562	16669
2783	119	0	0.33	8397	16828
2804	120	0	0.34	8730	17043
2826	121	0	0.36	9101	16485
2845	122	0	0.35	9504	17603
2865	123	0	0.35	9581	17418
2890	124	0	0.36	9518	16893
2911	125	0	0.35	9736	18124
2931	126	0	0.36	10204	17997
2951	127	0	0.37	10369	17646
2973	128	0	0.38	10425	17297
2996	129	0	0.38	10583	16998
3015	130	0	0.38	10717	17403
3034	131	0	0.38	10646	17231
3052	132	0	0.38	10536	17121
3073	133	0	0.37	10666	18059
3094	134	0	0.37	10419	17844
3115	135	0	0.36	10618	18773
3136	136	0	0.37	10448	17539
3159	137	0	0.36	10326	18274
3177	138	0	0.36	10380	18324
3198	139	0	0.36	10236	18440
3219	140	0	0.37	10795	18598
3238	141	0	0.38	11106	18411
3260	142	0	0.37	10986	18323
3279	143	0	0.37	10898	18741
3301	144	0	0.37	10869	18245
3323	145	0	0.38	11000	18085
3343	146	0	0.37	11070	18533
3365	147	0	0.37	10896	18329
3384	148	0	0.38	11301	18085
3402	149	0	0.38	10910	17773
3422	150	0	0.41	11566	16359
3445	151	0	0.42	12046	16762
3468	152	0	0.41	11732	17128
3491	153	0	0.41	11775	17056
3510	154	0	0.41	11678	16765
3530	155	0	0.41	11467	16804
3550	156	0	0.41	11479	16803
3571	157	0	0.41	11501	16830
3595	158	0	0.42	11485	16148
3615	159	0	0.46	11898	13897
3636	160	0	0.47	12332	14123
3654	161	0	0.47	12366	13901
3677	162	0	0.46	12062	14145
3698	163	0	0.46	11877	13694
3715	164	0	0.47	11606	13094
3734	165	0	0.47	11292	12773
3752	166	0	0.48	11249	12066
3769	167	0	0.48	10756	11861
3788	168	0	0.48	10698	11791
3808	169	0	0.46	9879	11446
