Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
394	1	0	0.13	1599	10836
442	2	0	0.15	2003	11786
462	3	0	0.14	1929	11870
482	4	0	0.14	1914	12183
498	5	0	0.14	1961	12324
525	6	0	0.13	1895	12219
544	7	0	0.13	1906	12703
562	8	0	0.12	1874	13143
583	9	0	0.12	1849	13240
603	10	0	0.12	1774	13216
627	11	0	0.11	1759	13609
647	12	0	0.11	1678	13893
665	13	0	0.10	1630	15011
684	14	0	0.09	1609	15452
702	15	0	0.09	1604	15723
723	16	0	0.09	1545	15468
741	17	0	0.08	1473	16377
766	18	0	0.08	1432	16869
786	19	0	0.08	1469	16844
806	20	0	0.08	1349	16579
824	21	0	0.07	1342	17012
842	22	0	0.07	1295	17494
863	23	0	0.07	1229	17416
881	24	0	0.06	1218	18035
900	25	0	0.06	1155	17755
918	26	0	0.06	1230	18301
935	27	0	0.06	1146	18381
954	28	0	0.05	1013	19135
977	29	0	0.06	1122	18932
993	30	0	0.05	1081	19431
1012	31	0	0.05	1001	19594
1029	32	0	0.04	821	18763
1048	33	0	0.04	792	19022
1064	34	0	0.04	856	19572
1080	35	0	0.04	890	19954
1096	36	0	0.04	815	18780
1112	37	0	0.04	802	19105
1128	38	0	0.04	805	18422
1146	39	0	0.04	860	18304
1164	40	0	0.04	813	17920
1182	41	0	0.04	778	17808
1198	42	0	0.04	778	18227
1215	43	0	0.04	689	17897
1234	44	0	0.03	600	17729
1253	45	0	0.03	574	17887
1275	46	0	0.04	683	16989
1292	47	0	0.04	723	16165
1308	48	0	0.05	844	16180
1324	49	0	0.05	804	15790
1340	50	0	0.06	907	15473
1359	51	0	0.07	1174	15802
1378	52	0	0.08	1350	15499
1398	53	0	0.07	1083	15127
1414	54	0	0.06	1010	15638
1430	55	0	0.07	1242	16349
1446	56	0	0.07	1261	16316
1463	57	0	0.08	1423	16078
1480	58	0	0.09	1688	16384
1498	59	0	0.09	1607	16237
1515	60	0	0.10	1763	16304
1531	61	0	0.10	1854	16757
1550	62	0	0.11	1926	16242
1567	63	0	0.11	2042	16379
1583	64	0	0.12	2202	16224
1602	65	0	0.12	2302	16592
1624	66	0	0.13	2549	16715
1643	67	0	0.14	2798	16541
1663	68	0	0.16	3099	16619
1682	69	0	0.16	3000	16261
1699	70	0	0.15	3000	16928
1718	71	0	0.17	3381	16477
