Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
508	1	0	0.81	197509	44896
570	2	0	0.82	200039	43388
622	3	0	0.83	205342	42670
676	4	0	0.83	207458	42468
710	5	0	0.83	210517	42021
746	6	0	0.84	215887	41371
783	7	0	0.85	221509	38769
820	8	0	0.85	223904	38296
858	9	0	0.86	228283	37514
898	10	0	0.86	234547	37601
936	11	0	0.87	240463	36099
978	12	0	0.89	242888	31010
1019	13	0	0.89	246332	30059
1057	14	0	0.89	251369	29709
1096	15	0	0.90	255739	29692
1133	16	0	0.90	258501	28858
1170	17	0	0.90	262042	27953
1206	18	0	0.91	265492	27264
1244	19	0	0.92	265606	24607
1283	20	0	0.92	265979	22971
1320	21	0	0.93	266677	21290
1356	22	0	0.93	266678	20757
1394	23	0	0.93	268683	18880
1430	24	0	0.94	270764	18599
1467	25	0	0.94	272288	17746
1507	26	0	0.94	270261	16803
1544	27	0	0.95	268578	15591
1588	28	0	0.95	266931	14356
1626	29	0	0.95	270645	13159
1663	30	0	0.96	270808	12531
1700	31	0	0.96	271559	11206
1738	32	0	0.96	269736	9791
1774	33	0	0.97	272048	8386
1814	34	0	0.97	274371	7492
1852	35	0	0.98	274953	5728
1890	36	0	0.99	274040	3943
1930	37	0	0.99	271948	2385
1971	38	0	0.99	266988	1675
2009	39	0	0.99	264432	1441
2046	40	0	1.00	258030	1262
2083	41	0	1.00	256269	1006
2121	42	0	1.00	249506	776
2161	43	0	1.00	241055	695
2199	44	0	1.00	236718	690
2236	45	0	1.00	230939	595
2275	46	0	1.00	225547	561
2312	47	0	1.00	221897	518
2352	48	0	1.00	217779	414
2393	49	0	1.00	214021	330
2434	50	0	1.00	206994	261
2476	51	0	1.00	201160	187
2514	52	0	1.00	197902	68
2552	53	0	1.00	193474	94
2589	54	0	1.00	187229	65
2630	55	0	1.00	179541	82
2666	56	0	1.00	172485	128
2709	57	0	1.00	168856	158
2751	58	0	1.00	164047	144
2797	59	0	1.00	158164	149
2836	60	0	1.00	149167	130
2874	61	0	1.00	140528	115
2912	62	0	1.00	134874	139
2953	63	0	1.00	130997	145
2995	64	0	1.00	125487	223
3033	65	0	1.00	118135	248
3071	66	0	1.00	113092	258
3109	67	0	1.00	105980	389
3147	68	0	1.00	101468	309
3185	69	0	1.00	99318	404
3220	70	0	0.99	92973	729
3259	71	0	0.99	89358	670
3307	72	0	0.99	87659	1144
3351	73	0	0.99	83880	1230
3387	74	0	0.99	82760	993
3425	75	0	0.98	81066	1342
3462	76	0	0.98	79438	1788
3500	77	0	0.98	76485	1775
3537	78	0	0.97	75516	2019
3576	79	0	0.97	74479	1970
3613	80	0	0.97	74336	2230
3649	81	0	0.97	73894	2663
3688	82	0	0.96	74723	2963
3727	83	0	0.96	74810	3174
3765	84	0	0.96	76827	3456
3799	85	0	0.96	75741	3353
3832	86	0	0.95	75675	3582
3868	87	0	0.95	76165	3886
3907	88	0	0.94	75916	4727
3949	89	0	0.94	74689	4795
3986	90	0	0.93	75180	5246
4024	91	0	0.93	72937	5289
4059	92	0	0.93	73488	5665
4095	93	0	0.92	75307	6145
4128	94	0	0.92	77272	6869
4169	95	0	0.91	79661	7604
4208	96	0	0.91	83876	7962
4249	97	0	0.90	85324	9907
4284	98	0	0.89	87400	10463
4322	99	0	0.89	90884	11384
4358	100	0	0.89	93708	11878
4394	101	0	0.88	96085	13027
4429	102	0	0.88	102452	14145
4465	103	0	0.88	105674	14894
4502	104	0	0.88	107603	15007
4536	105	0	0.88	107635	15281
4571	106	0	0.87	107259	15715
4607	107	0	0.87	109631	16090
4645	108	0	0.87	112217	16147
4682	109	0	0.88	116300	16175
4722	110	0	0.88	119679	15745
4765	111	0	0.89	122495	15820
4804	112	0	0.89	127008	16318
4853	113	0	0.89	130361	16873
4898	114	0	0.89	136683	17133
4948	115	0	0.89	141400	17146
5004	116	0	0.89	146690	17583
5059	117	0	0.90	150632	16942
5114	118	0	0.90	151979	17412
5163	119	0	0.90	155119	17259
5217	120	0	0.90	161045	18104
5269	121	0	0.91	168423	17672
5322	122	0	0.91	175100	18022
5381	123	0	0.91	181345	18475
5441	124	0	0.91	187147	18262
5501	125	0	0.92	195825	18095
5561	126	0	0.91	206548	19212
5626	127	0	0.92	214105	18726
5688	128	0	0.92	221679	20003
5754	129	0	0.92	229766	18994
5817	130	0	0.93	238380	18920
5892	131	0	0.93	245586	19469
5955	132	0	0.93	256307	20052
6022	133	0	0.93	263839	19811
6089	134	0	0.93	270085	20657
6157	135	0	0.93	273824	20504
6219	136	0	0.93	277859	19843
6261	137	0	0.94	283251	18721
6307	138	0	0.94	288720	18023
6357	139	0	0.95	297872	16331
6414	140	0	0.95	305974	15398
6465	141	0	0.96	312904	13873
6524	142	0	0.96	324163	12439
6576	143	0	0.97	334239	11491
6626	144	0	0.97	344265	10593
6680	145	0	0.97	356054	10112
6738	146	0	0.97	366170	9706
6793	147	0	0.98	370803	9402
6848	148	0	0.98	377801	8173
6903	149	0	0.98	383312	7407
6958	150	0	0.98	387065	7187
7011	151	0	0.98	394331	6949
7064	152	0	0.98	399043	6101
7120	153	0	0.99	405098	5443
7172	154	0	0.99	411385	5426
7225	155	0	0.99	415686	5200
7283	156	0	0.99	415001	4986
7333	157	0	0.99	421468	4339
7385	158	0	0.99	425917	3312
7443	159	0	0.99	429993	2752
7494	160	0	0.99	435619	2472
7547	161	0	0.99	437129	2716
7598	162	0	0.99	433071	2346
7651	163	0	1.00	431549	2155
7704	164	0	1.00	428923	2061
7755	165	0	1.00	426612	2098
7804	166	0	0.99	425664	2279
7854	167	0	0.99	424907	2650
7898	168	0	0.99	422761	2830
7944	169	0	0.99	419977	2610
7990	170	0	0.99	415618	2600
8036	171	0	0.99	411943	2885
8083	172	0	0.99	408140	2643
8130	173	0	0.99	406732	2335
8175	174	0	0.99	407997	2129
8223	175	0	0.99	408877	2089
8271	176	0	0.99	411914	2231
8321	177	0	0.99	411380	2421
8382	178	0	0.99	408286	2449
8437	179	0	0.99	403698	2601
8491	180	0	0.99	399186	2444
