Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
966	1	0	0.81	197509	44896
1025	2	0	0.82	200039	43388
1069	3	0	0.83	205342	42670
1116	4	0	0.83	207458	42468
1156	5	0	0.83	210517	42021
1196	6	0	0.84	215887	41371
1235	7	0	0.85	221509	38769
1271	8	0	0.85	223904	38296
1309	9	0	0.86	228283	37514
1345	10	0	0.86	234547	37601
1379	11	0	0.87	240463	36099
1413	12	0	0.89	242888	31010
1449	13	0	0.89	246332	30059
1489	14	0	0.89	251369	29709
1526	15	0	0.90	255739	29692
1563	16	0	0.90	258501	28858
1599	17	0	0.90	262042	27953
1636	18	0	0.91	265492	27264
1672	19	0	0.92	265606	24607
1707	20	0	0.92	265979	22971
1744	21	0	0.93	266677	21290
1787	22	0	0.93	266678	20757
1826	23	0	0.93	268683	18880
1863	24	0	0.94	270764	18599
1901	25	0	0.94	272288	17746
1940	26	0	0.94	270261	16803
1978	27	0	0.95	268578	15591
2016	28	0	0.95	266931	14356
2055	29	0	0.95	270645	13159
2094	30	0	0.96	270808	12531
2133	31	0	0.96	271559	11206
2176	32	0	0.96	269736	9791
2215	33	0	0.97	272048	8386
2253	34	0	0.97	274371	7492
2289	35	0	0.98	274953	5728
2328	36	0	0.99	274040	3943
2366	37	0	0.99	271948	2385
2408	38	0	0.99	266988	1675
2445	39	0	0.99	264432	1441
2483	40	0	1.00	258030	1262
2522	41	0	1.00	256269	1006
2562	42	0	1.00	249506	776
2601	43	0	1.00	241055	695
2641	44	0	1.00	236718	690
2678	45	0	1.00	230939	595
2715	46	0	1.00	225547	561
2753	47	0	1.00	221897	518
2795	48	0	1.00	217779	414
2832	49	0	1.00	214021	330
2874	50	0	1.00	206994	261
2914	51	0	1.00	201160	187
2951	52	0	1.00	197902	68
2989	53	0	1.00	193474	94
3028	54	0	1.00	187229	65
3068	55	0	1.00	179541	82
3107	56	0	1.00	172485	128
3150	57	0	1.00	168856	158
3192	58	0	1.00	164047	144
3236	59	0	1.00	158164	149
3274	60	0	1.00	149167	130
3313	61	0	1.00	140528	115
3355	62	0	1.00	134874	139
3400	63	0	1.00	130997	145
3444	64	0	1.00	125487	223
3484	65	0	1.00	118135	248
3522	66	0	1.00	113092	258
3560	67	0	1.00	105980	389
3596	68	0	1.00	101468	309
3636	69	0	1.00	99318	404
3673	70	0	0.99	92973	729
3711	71	0	0.99	89358	670
3747	72	0	0.99	87659	1144
3788	73	0	0.99	83880	1230
3826	74	0	0.99	82760	993
3865	75	0	0.98	81066	1342
3907	76	0	0.98	79438	1788
3947	77	0	0.98	76485	1775
3984	78	0	0.97	75516	2019
4023	79	0	0.97	74479	1970
4059	80	0	0.97	74336	2230
4094	81	0	0.97	73894	2663
4128	82	0	0.96	74723	2963
4162	83	0	0.96	74810	3174
4198	84	0	0.96	76827	3456
4233	85	0	0.96	75741	3353
4269	86	0	0.95	75675	3582
4306	87	0	0.95	76165	3886
4345	88	0	0.94	75916	4727
4384	89	0	0.94	74689	4795
4422	90	0	0.93	75180	5246
4458	91	0	0.93	72937	5289
4496	92	0	0.93	73488	5665
4531	93	0	0.92	75307	6145
4575	94	0	0.92	77272	6869
4617	95	0	0.91	79661	7604
4656	96	0	0.91	83876	7962
4695	97	0	0.90	85324	9907
4734	98	0	0.89	87400	10463
4774	99	0	0.89	90884	11384
4815	100	0	0.89	93708	11878
4852	101	0	0.88	96085	13027
4891	102	0	0.88	102452	14145
4933	103	0	0.88	105674	14894
4970	104	0	0.88	107603	15007
5004	105	0	0.88	107635	15281
5039	106	0	0.87	107259	15715
5076	107	0	0.87	109631	16090
5112	108	0	0.87	112217	16147
5148	109	0	0.88	116300	16175
5188	110	0	0.88	119679	15745
5226	111	0	0.89	122495	15820
5264	112	0	0.89	127008	16318
5308	113	0	0.89	130361	16873
5348	114	0	0.89	136683	17133
5388	115	0	0.89	141400	17146
5425	116	0	0.89	146690	17583
5464	117	0	0.90	150632	16942
5502	118	0	0.90	151979	17412
5539	119	0	0.90	155119	17259
5575	120	0	0.90	161045	18104
5619	121	0	0.91	168423	17672
5670	122	0	0.91	175100	18022
5716	123	0	0.91	181345	18475
5763	124	0	0.91	187147	18262
5807	125	0	0.92	195825	18095
5850	126	0	0.91	206548	19212
5896	127	0	0.92	214105	18726
5941	128	0	0.92	221679	20003
5995	129	0	0.92	229766	18994
6041	130	0	0.93	238380	18920
6082	131	0	0.93	245586	19469
6122	132	0	0.93	256307	20052
6166	133	0	0.93	263839	19811
6205	134	0	0.93	270085	20657
6247	135	0	0.93	273824	20504
6288	136	0	0.93	277859	19843
6330	137	0	0.94	283251	18721
6376	138	0	0.94	288720	18023
6415	139	0	0.95	297872	16331
6457	140	0	0.95	305974	15398
6499	141	0	0.96	312904	13873
6542	142	0	0.96	324163	12439
6582	143	0	0.97	334239	11491
6626	144	0	0.97	344265	10593
6671	145	0	0.97	356054	10112
6714	146	0	0.97	366170	9706
6757	147	0	0.98	370803	9402
6803	148	0	0.98	377801	8173
6846	149	0	0.98	383312	7407
6890	150	0	0.98	387065	7187
6934	151	0	0.98	394331	6949
6977	152	0	0.98	399043	6101
7026	153	0	0.99	405098	5443
7077	154	0	0.99	411385	5426
7125	155	0	0.99	415686	5200
7169	156	0	0.99	415001	4986
7214	157	0	0.99	421468	4339
7261	158	0	0.99	425917	3312
7308	159	0	0.99	429993	2752
7355	160	0	0.99	435619	2472
7400	161	0	0.99	437129	2716
7441	162	0	0.99	433071	2346
7485	163	0	1.00	431549	2155
7527	164	0	1.00	428923	2061
7574	165	0	1.00	426612	2098
7616	166	0	0.99	425664	2279
7659	167	0	0.99	424907	2650
7707	168	0	0.99	422761	2830
7757	169	0	0.99	419977	2610
7804	170	0	0.99	415618	2600
7855	171	0	0.99	411943	2885
7908	172	0	0.99	408140	2643
7955	173	0	0.99	406732	2335
7998	174	0	0.99	407997	2129
8042	175	0	0.99	408877	2089
8087	176	0	0.99	411914	2231
8131	177	0	0.99	411380	2421
8176	178	0	0.99	408286	2449
8219	179	0	0.99	403698	2601
8263	180	0	0.99	399186	2444
8309	181	0	0.99	394924	2184
8353	182	0	0.99	389896	2286
8399	183	0	0.99	382971	2531
8443	184	0	0.99	378783	2173
8486	185	0	0.99	374429	2025
8529	186	0	0.99	366906	1877
8572	187	0	0.99	358446	1946
8616	188	0	1.00	351676	1745
8658	189	0	1.00	345213	1353
8702	190	0	1.00	340681	1401
8748	191	0	1.00	333044	1331
8792	192	0	1.00	318301	1348
8833	193	0	1.00	307779	1336
8873	194	0	1.00	302196	1494
8917	195	0	0.99	295869	1496
8962	196	0	0.99	288778	1646
9005	197	0	0.99	280211	1776
9047	198	0	0.99	272705	2047
9090	199	0	0.99	263278	2231
9130	200	0	0.99	256243	2399
9173	201	0	0.99	249978	2539
9216	202	0	0.99	244831	3003
9258	203	0	0.98	240299	3700
9304	204	0	0.98	232005	4266
9348	205	0	0.98	229942	5300
9390	206	0	0.97	223242	7352
9435	207	0	0.96	220281	8208
9477	208	0	0.96	210720	8859
9521	209	0	0.96	207380	8682
9566	210	0	0.96	201247	9236
9609	211	0	0.95	195652	10579
9655	212	0	0.94	190352	11126
9700	213	0	0.94	186818	11373
9746	214	0	0.94	183645	12037
9794	215	0	0.93	177643	12483
9833	216	0	0.92	173044	14461
9872	217	0	0.91	169009	15832
9912	218	0	0.91	168006	16513
