Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
389	1	0	0.13	1599	10836
418	2	0	0.15	2003	11786
442	3	0	0.14	1929	11870
465	4	0	0.14	1914	12183
483	5	0	0.14	1961	12324
507	6	0	0.13	1895	12219
524	7	0	0.13	1906	12703
548	8	0	0.12	1874	13143
567	9	0	0.12	1849	13240
587	10	0	0.12	1774	13216
605	11	0	0.11	1759	13609
627	12	0	0.11	1678	13893
652	13	0	0.10	1630	15011
668	14	0	0.09	1609	15452
688	15	0	0.09	1604	15723
705	16	0	0.09	1545	15468
726	17	0	0.08	1473	16377
747	18	0	0.08	1432	16869
767	19	0	0.08	1469	16844
785	20	0	0.08	1349	16579
801	21	0	0.07	1342	17012
819	22	0	0.07	1295	17494
836	23	0	0.07	1229	17416
857	24	0	0.06	1218	18035
873	25	0	0.06	1155	17755
890	26	0	0.06	1230	18301
905	27	0	0.06	1146	18381
925	28	0	0.05	1013	19135
942	29	0	0.06	1122	18932
959	30	0	0.05	1081	19431
975	31	0	0.05	1001	19594
995	32	0	0.04	821	18763
1012	33	0	0.04	792	19022
1028	34	0	0.04	856	19572
1045	35	0	0.04	890	19954
1061	36	0	0.04	815	18780
1081	37	0	0.04	802	19105
1099	38	0	0.04	805	18422
1115	39	0	0.04	860	18304
1137	40	0	0.04	813	17920
1161	41	0	0.04	778	17808
1179	42	0	0.04	778	18227
1196	43	0	0.04	689	17897
1216	44	0	0.03	600	17729
1241	45	0	0.03	574	17887
1260	46	0	0.04	683	16989
1276	47	0	0.04	723	16165
1295	48	0	0.05	844	16180
1311	49	0	0.05	804	15790
1327	50	0	0.06	907	15473
1345	51	0	0.07	1174	15802
1363	52	0	0.08	1350	15499
1380	53	0	0.07	1083	15127
1396	54	0	0.06	1010	15638
1415	55	0	0.07	1242	16349
1432	56	0	0.07	1261	16316
1451	57	0	0.08	1423	16078
1467	58	0	0.09	1688	16384
1483	59	0	0.09	1607	16237
1499	60	0	0.10	1763	16304
1516	61	0	0.10	1854	16757
1534	62	0	0.11	1926	16242
1551	63	0	0.11	2042	16379
1569	64	0	0.12	2202	16224
1585	65	0	0.12	2302	16592
1602	66	0	0.13	2549	16715
1622	67	0	0.14	2798	16541
1640	68	0	0.16	3099	16619
1657	69	0	0.16	3000	16261
1676	70	0	0.15	3000	16928
1694	71	0	0.17	3381	16477
1710	72	0	0.18	3635	16602
1728	73	0	0.18	3739	16678
1746	74	0	0.18	3732	17274
1768	75	0	0.19	4006	17277
1789	76	0	0.18	3850	17198
1808	77	0	0.19	4137	17461
1826	78	0	0.19	4201	17511
1842	79	0	0.19	4271	18045
1859	80	0	0.19	4188	17988
1876	81	0	0.20	4135	16714
1893	82	0	0.21	4323	16633
1909	83	0	0.22	4700	16655
1925	84	0	0.22	4738	16596
1942	85	0	0.22	4598	16476
1959	86	0	0.23	4650	15535
1976	87	0	0.22	4467	15606
1992	88	0	0.25	4772	13970
2009	89	0	0.25	4769	13952
2026	90	0	0.26	4822	13793
2046	91	0	0.26	4654	13096
2066	92	0	0.27	4851	12958
2083	93	0	0.28	4800	12649
2100	94	0	0.29	5093	12744
2119	95	0	0.28	4971	13025
2139	96	0	0.28	5382	14017
2158	97	0	0.28	5612	14415
2177	98	0	0.28	5334	13625
2204	99	0	0.29	5560	13757
2225	100	0	0.30	5885	13775
2245	101	0	0.29	5870	14277
2262	102	0	0.31	6229	14147
2280	103	0	0.33	6613	13674
2300	104	0	0.32	6638	14170
2320	105	0	0.32	6685	14124
2337	106	0	0.32	6707	14048
2354	107	0	0.33	6770	13920
2374	108	0	0.32	6846	14388
2390	109	0	0.32	6812	14387
2407	110	0	0.33	7045	14097
2424	111	0	0.35	7270	13725
2440	112	0	0.35	7617	14413
2460	113	0	0.34	7631	14730
2478	114	0	0.34	7602	14940
2501	115	0	0.33	7384	15307
2518	116	0	0.34	8105	15684
2535	117	0	0.34	8343	15969
2554	118	0	0.34	8562	16669
2572	119	0	0.33	8397	16828
2589	120	0	0.34	8730	17043
2606	121	0	0.36	9101	16485
2623	122	0	0.35	9504	17603
2640	123	0	0.35	9581	17418
2657	124	0	0.36	9518	16893
2673	125	0	0.35	9736	18124
2689	126	0	0.36	10204	17997
2705	127	0	0.37	10369	17646
2722	128	0	0.38	10425	17297
2738	129	0	0.38	10583	16998
2754	130	0	0.38	10717	17403
2771	131	0	0.38	10646	17231
2787	132	0	0.38	10536	17121
2805	133	0	0.37	10666	18059
2824	134	0	0.37	10419	17844
2842	135	0	0.36	10618	18773
2858	136	0	0.37	10448	17539
2883	137	0	0.36	10326	18274
