Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
1550	1	1	1.00	415	255626
1580	2	1	1.00	382	255645
1615	3	1	1.00	445	255510
1647	4	1	1.00	379	255765
1679	5	1	1.00	381	255724
1715	6	1	1.00	384	255648
1747	7	1	1.00	449	255621
1779	8	1	1.00	531	256396
1815	9	1	1.00	556	256030
1847	10	1	1.00	399	255467
1878	11	1	1.00	351	255246
1914	12	1	1.00	376	255287
1946	13	1	1.00	502	255366
1979	14	1	1.00	462	255235
2014	15	1	1.00	371	255904
2046	16	1	1.00	463	256167
2078	17	1	1.00	452	256299
2114	18	1	1.00	447	256573
2146	19	1	1.00	464	257150
2178	20	1	1.00	412	257200
2214	21	1	1.00	468	257710
2246	22	1	1.00	449	257722
2278	23	1	1.00	479	257627
2314	24	1	1.00	436	258017
2346	25	1	1.00	472	258263
2378	26	1	1.00	402	258263
2414	27	1	1.00	435	258564
2447	28	1	1.00	452	258698
2478	29	1	1.00	462	258863
2515	30	1	1.00	432	258748
2546	31	1	1.00	443	258890
2578	32	1	1.00	485	259218
2614	33	1	1.00	472	259409
2646	34	1	1.00	497	259416
2678	35	1	1.00	397	259596
2714	36	1	1.00	389	259853
2746	37	1	1.00	397	259764
2778	38	1	1.00	459	259735
2814	39	1	1.00	398	259870
2846	40	1	1.00	406	259884
2879	41	1	1.00	346	259797
2915	42	1	1.00	442	260187
2947	43	1	1.00	390	260128
2979	44	1	1.00	456	260307
3014	45	1	1.00	405	260157
3046	46	1	1.00	451	260046
3079	47	1	1.00	390	260291
3115	48	1	1.00	455	260241
3146	49	1	1.00	404	260636
3179	50	1	1.00	400	260616
3215	51	1	1.00	385	260470
3247	52	1	1.00	410	260232
3279	53	1	1.00	339	260167
3315	54	1	1.00	382	260143
3347	55	1	1.00	389	260568
3379	56	1	1.00	337	260788
3415	57	1	1.00	357	260584
3447	58	1	1.00	321	260648
3479	59	1	1.00	359	260485
3515	60	1	1.00	335	260483
3547	61	1	1.00	341	260659
3579	62	1	1.00	316	261093
3615	63	1	1.00	350	260987
3647	64	1	1.00	338	261075
3679	65	1	1.00	382	260857
3715	66	1	1.00	313	260975
3746	67	1	1.00	315	260869
3779	68	1	1.00	358	260627
3815	69	1	1.00	332	260634
3847	70	1	1.00	366	260907
3879	71	1	1.00	356	260951
3915	72	1	1.00	341	261427
