Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
381	1	0	0.13	1599	10836
410	2	0	0.15	2003	11786
432	3	0	0.14	1929	11870
457	4	0	0.14	1914	12183
476	5	0	0.14	1961	12324
491	6	0	0.13	1895	12219
507	7	0	0.13	1906	12703
530	8	0	0.12	1874	13143
550	9	0	0.12	1849	13240
567	10	0	0.12	1774	13216
585	11	0	0.11	1759	13609
605	12	0	0.11	1678	13893
624	13	0	0.10	1630	15011
644	14	0	0.09	1609	15452
666	15	0	0.09	1604	15723
685	16	0	0.09	1545	15468
703	17	0	0.08	1473	16377
719	18	0	0.08	1432	16869
737	19	0	0.08	1469	16844
765	20	0	0.08	1349	16579
784	21	0	0.07	1342	17012
806	22	0	0.07	1295	17494
823	23	0	0.07	1229	17416
840	24	0	0.06	1218	18035
858	25	0	0.06	1155	17755
880	26	0	0.06	1230	18301
899	27	0	0.06	1146	18381
917	28	0	0.05	1013	19135
936	29	0	0.06	1122	18932
955	30	0	0.05	1081	19431
971	31	0	0.05	1001	19594
988	32	0	0.04	821	18763
1005	33	0	0.04	792	19022
1021	34	0	0.04	856	19572
1038	35	0	0.04	890	19954
1058	36	0	0.04	815	18780
1076	37	0	0.04	802	19105
1093	38	0	0.04	805	18422
1109	39	0	0.04	860	18304
1125	40	0	0.04	813	17920
1143	41	0	0.04	778	17808
1159	42	0	0.04	778	18227
1176	43	0	0.04	689	17897
1197	44	0	0.03	600	17729
1215	45	0	0.03	574	17887
1232	46	0	0.04	683	16989
1251	47	0	0.04	723	16165
1273	48	0	0.05	844	16180
1292	49	0	0.05	804	15790
1317	50	0	0.06	907	15473
1338	51	0	0.07	1174	15802
1356	52	0	0.08	1350	15499
1374	53	0	0.07	1083	15127
1397	54	0	0.06	1010	15638
1415	55	0	0.07	1242	16349
1433	56	0	0.07	1261	16316
1451	57	0	0.08	1423	16078
1467	58	0	0.09	1688	16384
1484	59	0	0.09	1607	16237
1500	60	0	0.10	1763	16304
1516	61	0	0.10	1854	16757
1532	62	0	0.11	1926	16242
1550	63	0	0.11	2042	16379
1571	64	0	0.12	2202	16224
1592	65	0	0.12	2302	16592
1613	66	0	0.13	2549	16715
1632	67	0	0.14	2798	16541
1653	68	0	0.16	3099	16619
1673	69	0	0.16	3000	16261
1691	70	0	0.15	3000	16928
1710	71	0	0.17	3381	16477
1734	72	0	0.18	3635	16602
1756	73	0	0.18	3739	16678
1780	74	0	0.18	3732	17274
1801	75	0	0.19	4006	17277
1820	76	0	0.18	3850	17198
1841	77	0	0.19	4137	17461
1860	78	0	0.19	4201	17511
1882	79	0	0.19	4271	18045
1902	80	0	0.19	4188	17988
1922	81	0	0.20	4135	16714
1942	82	0	0.21	4323	16633
1960	83	0	0.22	4700	16655
1985	84	0	0.22	4738	16596
2005	85	0	0.22	4598	16476
2025	86	0	0.23	4650	15535
2046	87	0	0.22	4467	15606
2066	88	0	0.25	4772	13970
2087	89	0	0.25	4769	13952
2110	90	0	0.26	4822	13793
2130	91	0	0.26	4654	13096
2149	92	0	0.27	4851	12958
2168	93	0	0.28	4800	12649
2186	94	0	0.29	5093	12744
2203	95	0	0.28	4971	13025
2221	96	0	0.28	5382	14017
2240	97	0	0.28	5612	14415
2258	98	0	0.28	5334	13625
2276	99	0	0.29	5560	13757
2293	100	0	0.30	5885	13775
2316	101	0	0.29	5870	14277
2336	102	0	0.31	6229	14147
2353	103	0	0.33	6613	13674
2371	104	0	0.32	6638	14170
2390	105	0	0.32	6685	14124
2408	106	0	0.32	6707	14048
2429	107	0	0.33	6770	13920
2455	108	0	0.32	6846	14388
2478	109	0	0.32	6812	14387
2505	110	0	0.33	7045	14097
2531	111	0	0.35	7270	13725
2565	112	0	0.35	7617	14413
2598	113	0	0.34	7631	14730
2631	114	0	0.34	7602	14940
2660	115	0	0.33	7384	15307
2687	116	0	0.34	8105	15684
2723	117	0	0.34	8343	15969
2757	118	0	0.34	8562	16669
2790	119	0	0.33	8397	16828
2819	120	0	0.34	8730	17043
2854	121	0	0.36	9101	16485
2885	122	0	0.35	9504	17603
2916	123	0	0.35	9581	17418
2937	124	0	0.36	9518	16893
2961	125	0	0.35	9736	18124
2988	126	0	0.36	10204	17997
3012	127	0	0.37	10369	17646
3035	128	0	0.38	10425	17297
3059	129	0	0.38	10583	16998
3079	130	0	0.38	10717	17403
3102	131	0	0.38	10646	17231
3127	132	0	0.38	10536	17121
3152	133	0	0.37	10666	18059
3173	134	0	0.37	10419	17844
3198	135	0	0.36	10618	18773
3219	136	0	0.37	10448	17539
3239	137	0	0.36	10326	18274
3258	138	0	0.36	10380	18324
3277	139	0	0.36	10236	18440
3296	140	0	0.37	10795	18598
3314	141	0	0.38	11106	18411
3335	142	0	0.37	10986	18323
3358	143	0	0.37	10898	18741
3377	144	0	0.37	10869	18245
3396	145	0	0.38	11000	18085
3417	146	0	0.37	11070	18533
3442	147	0	0.37	10896	18329
3467	148	0	0.38	11301	18085
3489	149	0	0.38	10910	17773
3509	150	0	0.41	11566	16359
3532	151	0	0.42	12046	16762
3555	152	0	0.41	11732	17128
3576	153	0	0.41	11775	17056
3596	154	0	0.41	11678	16765
3618	155	0	0.41	11467	16804
3639	156	0	0.41	11479	16803
3659	157	0	0.41	11501	16830
3681	158	0	0.42	11485	16148
3703	159	0	0.46	11898	13897
3724	160	0	0.47	12332	14123
3746	161	0	0.47	12366	13901
3769	162	0	0.46	12062	14145
3791	163	0	0.46	11877	13694
3812	164	0	0.47	11606	13094
3839	165	0	0.47	11292	12773
3867	166	0	0.48	11249	12066
3888	167	0	0.48	10756	11861
3909	168	0	0.48	10698	11791
3928	169	0	0.46	9879	11446
3947	170	0	0.45	9337	11288
3969	171	0	0.46	8888	10463
3989	172	0	0.46	8861	10583
4010	173	0	0.45	8485	10377
4029	174	0	0.46	8349	9735
4049	175	0	0.43	7661	10067
4073	176	0	0.43	7387	9884
4094	177	0	0.43	7259	9594
4115	178	0	0.40	6962	10638
4138	179	0	0.40	6872	10209
4163	180	0	0.41	6745	9887
4187	181	0	0.41	6263	9095
4212	182	0	0.39	5957	9201
4231	183	0	0.39	5672	8994
4252	184	0	0.36	5294	9397
4270	185	0	0.36	5127	9304
4292	186	0	0.30	4460	10248
4313	187	0	0.28	4154	10430
4337	188	0	0.27	3981	10850
4358	189	0	0.26	4160	11764
4382	190	0	0.26	3966	11244
4404	191	0	0.23	3457	11726
4425	192	0	0.23	3293	11010
4448	193	0	0.21	2979	11263
4474	194	0	0.20	2760	11150
4497	195	0	0.19	2677	11597
4520	196	0	0.18	2424	11001
4544	197	0	0.17	2285	11358
4563	198	0	0.16	2145	11137
4585	199	0	0.15	1952	10730
4605	200	0	0.15	1853	10168
4624	201	0	0.13	1537	9947
4645	202	0	0.13	1361	9184
4664	203	0	0.12	1219	9257
4684	204	0	0.13	1362	9454
4705	205	0	0.13	1447	9639
4725	206	0	0.13	1421	9276
4750	207	0	0.10	1205	10280
4771	208	0	0.10	1162	10174
4791	209	0	0.10	1084	9796
4811	210	0	0.11	1231	9564
4830	211	0	0.12	1243	9512
4853	212	0	0.11	1195	9626
4876	213	0	0.11	1092	8990
4898	214	0	0.11	1095	9136
4918	215	0	0.11	1027	8716
4937	216	0	0.10	1004	8579
4956	217	0	0.11	1068	8391
4977	218	0	0.12	1087	8144
4998	219	0	0.12	1133	8079
5019	220	0	0.15	1292	7597
5038	221	0	0.15	1303	7275
5057	222	0	0.16	1352	6883
5078	223	0	0.16	1335	7125
5097	224	0	0.18	1382	6472
5120	225	0	0.17	1364	6662
5140	226	0	0.17	1401	7023
5162	227	0	0.19	1548	6509
5186	228	0	0.18	1453	6833
5205	229	0	0.19	1676	6934
5227	230	0	0.20	1608	6523
5246	231	0	0.19	1555	6786
5265	232	0	0.21	1600	5976
5288	233	0	0.21	1546	5822
5310	234	0	0.24	1620	5230
5332	235	0	0.22	1528	5363
5354	236	0	0.22	1604	5612
5373	237	0	0.24	1700	5411
5396	238	0	0.21	1512	5696
5415	239	0	0.22	1497	5230
5433	240	0	0.21	1452	5520
5454	241	0	0.21	1547	5727
5472	242	0	0.23	1622	5441
5495	243	0	0.22	1642	5731
5515	244	0	0.23	1659	5590
5533	245	0	0.21	1504	5550
5554	246	0	0.23	1606	5235
5578	247	0	0.23	1622	5289
5599	248	0	0.25	1759	5345
5623	249	0	0.24	1780	5666
5644	250	0	0.24	1873	5858
5665	251	0	0.24	1790	5783
5685	252	0	0.24	1747	5678
5705	253	0	0.25	1889	5731
5726	254	0	0.23	1747	5829
5748	255	0	0.19	1469	6423
5768	256	0	0.18	1433	6750
5789	257	0	0.17	1393	6710
5808	258	0	0.19	1459	6288
5832	259	0	0.19	1575	6721
5858	260	0	0.19	1558	6501
5881	261	0	0.23	1824	6176
5904	262	0	0.31	2686	5955
5928	263	0	0.34	3168	6124
5949	264	0	0.38	3698	6163
5971	265	0	0.39	3977	6141
5995	266	0	0.42	4311	5872
6016	267	0	0.45	4577	5643
6037	268	0	0.45	4520	5635
6058	269	0	0.45	4612	5721
6076	270	0	0.47	4972	5595
6099	271	0	0.48	5030	5546
6118	272	0	0.49	5044	5209
6139	273	0	0.52	5036	4559
6162	274	0	0.53	4927	4366
6184	275	0	0.60	6171	4197
6206	276	0	0.60	6651	4402
6231	277	0	0.60	6896	4590
6252	278	0	0.63	6868	4013
6274	279	0	0.64	7331	4166
6293	280	0	0.64	7305	4168
6312	281	0	0.65	7309	4012
6332	282	0	0.65	7306	3929
6351	283	0	0.65	7547	4061
6373	284	0	0.66	7974	4118
6393	285	0	0.65	7887	4170
6414	286	0	0.67	8062	3905
6438	287	0	0.68	8247	3949
6457	288	0	0.68	8392	3867
6484	289	0	0.69	8219	3668
6509	290	0	0.72	8969	3558
6532	291	0	0.72	9630	3660
6553	292	0	0.72	9838	3784
6574	293	0	0.74	10253	3539
6598	294	0	0.74	10321	3566
6623	295	0	0.73	10146	3720
6648	296	0	0.74	10836	3801
6670	297	0	0.74	10893	3745
6694	298	0	0.74	10969	3923
6716	299	0	0.75	10713	3553
6734	300	0	0.77	11062	3350
6755	301	0	0.78	11317	3210
6774	302	0	0.78	11528	3230
6793	303	0	0.78	11607	3207
6812	304	0	0.78	11648	3270
6831	305	0	0.78	12904	3637
6851	306	0	0.80	12965	3306
6872	307	0	0.80	13955	3570
6891	308	0	0.78	14275	3924
6912	309	0	0.80	14562	3645
6934	310	0	0.81	15441	3591
6955	311	0	0.80	15482	3825
6975	312	0	0.83	15350	3252
7001	313	0	0.85	15383	2681
7024	314	0	0.85	15973	2797
7048	315	0	0.85	15888	2837
7069	316	0	0.86	15696	2634
7090	317	0	0.87	15465	2350
7113	318	0	0.88	15552	2074
7135	319	0	0.88	15103	2039
7155	320	0	0.88	14935	2047
7176	321	0	0.89	15075	1946
7196	322	0	0.88	14718	2060
7220	323	0	0.90	14702	1702
7241	324	0	0.91	14338	1416
7261	325	0	0.92	14461	1318
7286	326	0	0.93	14357	1058
7306	327	0	0.93	14436	1068
7327	328	0	0.92	15196	1299
7350	329	0	0.92	15236	1384
7371	330	0	0.93	15677	1271
7396	331	0	0.92	15863	1313
7418	332	0	0.92	16278	1324
7440	333	0	0.92	16014	1440
7463	334	0	0.92	15924	1477
7486	335	0	0.92	15773	1429
7505	336	0	0.92	16040	1432
7525	337	0	0.94	16223	990
7551	338	0	0.94	15826	1006
7573	339	0	0.95	15931	889
7602	340	0	0.95	16132	780
7624	341	0	0.97	16455	571
7645	342	0	0.97	16170	570
7671	343	0	0.97	15911	456
7692	344	0	0.98	16286	407
7712	345	0	0.98	16620	423
7732	346	0	0.98	16436	291
7754	347	0	0.98	16509	400
7773	348	0	0.98	16794	312
7793	349	0	0.99	16774	198
7812	350	0	0.99	16307	143
7833	351	0	0.98	16046	269
7855	352	0	0.98	16146	258
7874	353	0	0.98	15829	343
7894	354	0	0.98	15576	298
7913	355	0	0.97	15402	472
7933	356	0	0.97	15584	475
7956	357	0	0.98	15193	361
7978	358	0	0.98	14932	309
8000	359	0	0.98	14477	363
8024	360	0	0.97	13855	423
8045	361	0	0.98	13197	322
8068	362	0	0.98	12800	274
8091	363	0	0.98	12961	295
8110	364	0	0.98	13326	255
8133	365	0	0.98	12544	269
8155	366	0	0.97	12336	386
8176	367	0	0.97	12120	347
8196	368	0	0.97	11574	360
8219	369	0	0.95	10632	535
8238	370	0	0.95	9992	575
8262	371	0	0.94	8975	531
8281	372	0	0.95	7803	386
8304	373	0	0.94	7282	463
8324	374	0	0.95	6898	388
8345	375	0	0.95	6911	355
8367	376	0	0.95	7009	392
8391	377	0	0.93	6747	497
8411	378	0	0.95	7083	403
8436	379	0	0.95	7015	393
8459	380	0	0.94	6984	446
8481	381	0	0.96	7635	343
8504	382	0	0.93	7664	565
8527	383	0	0.94	7605	496
8545	384	0	0.93	7684	608
8565	385	0	0.91	7476	714
8585	386	0	0.89	7470	969
8606	387	0	0.85	7779	1347
8626	388	0	0.85	8302	1521
8649	389	0	0.83	8599	1743
8672	390	0	0.82	9339	2073
8693	391	0	0.80	9313	2368
8718	392	0	0.76	9231	2970
8741	393	0	0.69	9089	3995
8761	394	0	0.65	9169	4906
8784	395	0	0.62	9882	5993
8808	396	0	0.58	9825	7260
8828	397	0	0.56	11158	8877
8848	398	0	0.52	11544	10840
8870	399	0	0.47	11437	12738
8889	400	0	0.43	11459	15050
8909	401	0	0.40	11593	17107
8927	402	0	0.35	10920	19928
8947	403	0	0.34	11552	22920
8966	404	0	0.31	11641	25792
8986	405	0	0.29	11804	28761
9013	406	0	0.27	12001	32241
9034	407	0	0.25	11810	35661
9054	408	0	0.23	11694	39271
9079	409	0	0.20	10844	43275
9099	410	0	0.18	10561	47221
9118	411	0	0.16	9879	51932
9139	412	0	0.15	9711	56244
9159	413	0	0.13	9398	60935
9180	414	0	0.12	9235	65436
9202	415	0	0.11	9081	70432
9225	416	0	0.10	8801	75712
9250	417	0	0.09	8285	80850
9270	418	0	0.09	8149	86876
9291	419	1	0.92	7605	93399
9315	420	1	0.93	7394	99698
9340	421	1	0.94	7182	105665
9365	422	1	0.94	7066	112322
9387	423	1	0.94	7127	118791
9405	424	1	0.95	7301	125887
9424	425	1	0.95	7055	132459
9443	426	1	0.95	6646	139542
